DATA,CDI_NI,PTAX,IBOV,IRF-M,IMA-S,IMA-C,IMA-B,IMA-B 5,IMA-B 5+,IRF-M 1,IRF-M 1+
2010-02-04,8.95681735313307,1.8715,63934.0,4352.570094,1843.008393,2004.693289,2075.76304,2001.245528,2293.492996,4256.46078,4503.100253
2010-02-05,8.959756711883848,1.8753,62762.0,4355.580209,1843.615421,2005.151808,2079.302814,2003.821001,2298.258793,4258.484931,4506.803535
2010-02-08,8.962697035243988,1.873,63153.0,4362.788989,1844.221368,2007.845035,2081.829639,2005.96104,2301.352928,4260.445426,4517.480588
2010-02-09,8.965638323530044,1.855,64718.0,4364.554239,1844.828211,2009.600607,2083.434419,2007.434502,2303.201284,4260.898015,4520.112517
2010-02-10,8.968580577058676,1.8483,65051.0,4364.100707,1845.435625,2010.377586,2085.977743,2009.297759,2306.612459,4261.957625,4518.692545
2010-02-11,8.971523796146649,1.8516,66128.0,4361.384068,1846.042269,2015.883832,2087.720228,2010.864483,2308.650591,4263.672607,4513.116816
2010-02-12,8.974467981110829,1.867,65854.0,4363.76005,1846.649456,2018.080442,2090.712252,2013.08965,2312.606815,4265.932202,4515.615406
2010-02-17,8.97741313226819,1.8313,67284.0,4367.031894,1847.257242,2020.103347,2093.257694,2014.563631,2316.385769,4267.577558,4519.960639
2010-02-18,8.980359249935805,1.8266,67836.0,4369.334985,1847.865444,2022.143583,2095.204945,2015.970682,2318.997765,4268.80849,4522.97436
2010-02-19,8.983309657163778,1.8116,67597.0,4371.910031,1848.473558,2023.985141,2096.365559,2017.165546,2320.205847,4269.772852,4526.59843
2010-02-22,8.986261033718542,1.8046,67184.0,4371.506663,1849.0821,2028.69121,2097.730299,2018.230996,2321.95883,4269.709726,4525.979283
2010-02-23,8.989213379918558,1.8186,66108.0,4373.865549,1849.690769,2030.507131,2099.377386,2019.322133,2324.265138,4270.836542,4529.138536
2010-02-24,8.992166696082396,1.8203,65794.0,4370.188706,1850.299236,2034.122354,2099.748565,2020.242814,2324.124262,4271.826383,4522.541373
2010-02-25,8.99511765542705,1.8364,66121.0,4372.272542,1850.907946,2039.763363,2099.566926,2020.236998,2323.756795,4272.678808,4525.419357
2010-02-26,8.99806958318803,1.811,66503.0,4369.712903,1851.517117,2043.291459,2098.38194,2019.35156,2322.194315,4272.635571,4521.272812
2010-03-01,9.001022479683146,1.8,67227.0,4375.991893,1852.126686,2046.525281,2097.438857,2018.75593,2320.843376,4274.747296,4530.201433
2010-03-02,9.003973014851985,1.7851,67779.0,4380.202583,1852.735963,2048.550946,2098.724826,2019.825045,2322.432406,4276.784675,4535.813863
2010-03-03,9.006927848676268,1.7846,67641.0,4379.970869,1853.345291,2050.614943,2098.734122,2020.501975,2321.784706,4277.826681,4534.808193
2010-03-04,9.009883652188368,1.7888,67814.0,4382.543412,1853.955588,2053.137994,2099.947731,2021.588234,2323.208179,4279.278333,4538.112207
2010-03-05,9.012837092049555,1.7824,68846.0,4387.32212,1854.565783,2053.691776,2099.192969,2021.407088,2321.835882,4282.58589,4543.875604
2010-03-08,9.015791500048328,1.7826,68575.0,4391.714241,1855.176139,2054.911136,2095.77243,2019.634101,2316.554497,4284.174543,4550.027629
2010-03-09,9.018753548187753,1.7899,69576.0,4394.896741,1855.786421,2058.04982,2097.604673,2021.539235,2318.442391,4285.541556,4554.357094
2010-03-10,9.021716569478475,1.7716,69979.0,4395.595859,1856.397564,2059.064584,2099.355207,2023.488926,2320.118516,4286.283248,4555.04595
2010-03-11,9.02468056424021,1.7693,69884.0,4393.37334,1857.008431,2060.645098,2100.515382,2024.778332,2321.232042,4286.485029,4551.335427
2010-03-12,9.027642193660977,1.7637,69341.0,4396.420566,1857.620561,2061.10292,2102.68467,2026.469563,2324.022429,4288.192597,4555.244028
2010-03-15,9.030601454772059,1.7644,69023.0,4399.754524,1858.231895,2064.927677,2105.853332,2028.450567,2328.579506,4289.789088,4559.670184
2010-03-16,9.033565027251472,1.7666,69942.0,4401.932814,1858.84341,2070.023258,2108.603351,2029.893357,2332.806616,4291.442433,4562.20384
2010-03-17,9.036526229867405,1.764,69723.0,4403.679843,1859.456795,2074.525648,2111.407054,2031.933772,2336.556189,4294.552203,4563.18878
2010-03-18,9.03949174668026,1.7848,69697.0,4408.996584,1860.069265,2077.400899,2119.66275,2038.17486,2347.367966,4300.362298,4568.331153
2010-03-19,9.042454892074822,1.7954,68828.0,4404.668146,1860.681074,2079.294027,2122.11748,2039.405283,2351.197672,4301.216047,4560.86683
2010-03-22,9.045422354496754,1.803,69041.0,4403.845507,1861.293677,2080.773839,2122.697792,2039.535276,2352.261265,4303.175463,4558.411898
2010-03-23,9.04839079075083,1.7813,69386.0,4408.556045,1861.90646,2082.369865,2125.027724,2041.480514,2355.131739,4305.019072,4564.888864
2010-03-24,9.05136020115663,1.7904,68913.0,4409.313984,1862.519135,2083.801184,2125.337601,2041.228492,2356.015805,4305.574523,4565.780849
2010-03-25,9.054330586033844,1.8008,68441.0,4413.333057,1863.132376,2084.591956,2126.495938,2041.154271,2358.474748,4306.356916,4571.765799
2010-03-26,9.057298595599946,1.8231,68682.0,4414.604474,1863.745883,2086.021894,2128.628697,2042.244973,2361.78709,4307.290184,4573.261179
2010-03-29,9.060264317452088,1.8064,69939.0,4419.405043,1864.359061,2087.758738,2132.255239,2043.972668,2367.545067,4309.480589,4579.663583
2010-03-30,9.06321778241429,1.7952,69959.0,4423.388647,1864.972605,2090.411658,2137.029282,2046.457685,2374.916424,4311.071133,4585.106596
2010-03-31,9.066182089054383,1.781,70371.0,4422.188689,1865.586588,2092.070952,2139.773509,2048.132305,2378.909922,4312.078744,4582.614808
2010-04-01,9.069153983543174,1.7701,71136.0,4423.617984,1866.200386,2093.49626,2144.100054,2050.309023,2385.664916,4313.959142,4583.816973
2010-04-05,9.072116966841136,1.7573,71289.0,4429.064333,1866.814805,2095.163643,2145.669131,2050.970263,2388.241597,4315.786937,4591.339745
2010-04-06,9.075090806782868,1.7605,71095.0,4430.361836,1867.429479,2096.927504,2147.037426,2051.524913,2390.510313,4316.709495,4592.869149
2010-04-07,9.07806897933293,1.7662,70792.0,4429.20487,1868.044336,2098.364982,2154.050068,2053.920462,2402.580312,4317.612096,4590.574728
2010-04-08,9.0810514881154,1.7806,71784.0,4428.623811,1868.659404,2100.055941,2163.023009,2057.181481,2417.830452,4318.619378,4589.123569
2010-04-09,9.084031616782253,1.773,71417.0,4425.453297,1869.274612,2110.447854,2162.374536,2056.314558,2417.353267,4318.962997,4583.984948
2010-04-12,9.087012723437931,1.7608,70614.0,4429.730974,1869.890036,2113.304086,2163.498257,2057.410175,2418.58275,4320.567105,4589.793947
2010-04-13,9.08999817059809,1.7584,70792.0,4427.487947,1870.505393,2114.302236,2155.432137,2055.743781,2403.621466,4321.112978,4586.004412
2010-04-14,9.092981235297735,1.7446,71034.0,4423.770466,1871.121294,2115.286046,2145.354528,2052.074038,2386.501127,4320.868679,4580.339788
2010-04-15,9.095961914546665,1.7483,70524.0,4416.755376,1871.737387,2116.476644,2142.250908,2050.340805,2381.828979,4321.480551,4569.075181
2010-04-16,9.098946936368161,1.7558,69421.0,4419.894484,1872.353467,2120.03224,2145.640901,2052.283775,2386.88301,4323.32862,4572.978351
2010-04-19,9.101936304394636,1.7588,69097.0,4419.809879,1872.969788,2120.09376,2140.372682,2050.10855,2378.195366,4324.225312,4572.364819
2010-04-20,9.10492665454808,1.7497,69318.0,4416.949521,1873.586501,2118.613588,2130.448857,2048.598181,2359.276308,4326.632717,4566.609994
2010-04-22,9.107917987151165,1.7626,69386.0,4418.097258,1874.203368,2116.565253,2132.064326,2050.432682,2360.787792,4328.795551,4567.143746
